ID_Medicamento,Principio_Activo,Nombre_Comercial,Laboratorio,Formato,Dosis_mg,Unidades_por_Caja,Precio_BS,Precio_USD,Es_Marca,URL_Fuente,Fecha_Scrape,Fabricante_Origen,Fuente_Origen,Fuente_Origen_URL,Proxy_Origen,Categoria_antibiotico,Categoria_antidepresivo,Categoria_antifúngico,Categoria_antihistaminico,Categoria_cardiovascular,Categoria_gastrointestinal,Categoria_neurológico,Cadena_Farmatodo,Cadena_Locatel,Segmento_Medio,Segmento_Alto,Segmento_Bajo,residuos,y_hat,Precio_USD_Estimado
46,Metformina,Metformina Clorhidrato 500mg 30tabletas Gencer,Gencer,Tableta,500,30,835.0,1.7614,0,https://www.farmatodo.com.ve/producto/116439605-metformina-clorhidrato-500mg-30tabletas-gencer,2026-04-06,Venezuela,Farmatodo,https://www.farmatodo.com.ve/producto/116439605-metformina-clorhidrato-500mg-30tabletas-gencer,0,0,0,0,0,1,0,0,1,0,1,0,0,-0.6352115006761612,1.650949298176076,4.11
43,Losartan Potasico,Losartán Potásico 50 Mg Dac Caja X 30 Tabletas,Medicamentos Dac 55,Tableta,50,30,695.0,1.4661,0,https://www.farmatodo.com.ve/producto/113686547-losartan-potasico-dac-50mg-x30-tabletas,2026-04-06,India,Farmatodo,https://www.farmatodo.com.ve/producto/113686547-losartan-potasico-dac-50mg-x30-tabletas,0,0,0,0,0,1,0,0,1,0,0,0,1,-0.3476412255891538,1.250279181009522,2.34
114,Nitrofurantoina,DAC NITROFURANTOINA 50MG X 30 TABLETAS RECUBIERTAS,DAC,Tableta,50,30,727.01,1.5336,0,https://www.locatel.com.ve/dac_nitrofurantoina_50mg_x_30_tabletas_recubiertas/p,2026-04-06,India,Farmatodo,https://www.farmatodo.com.ve/producto/115674646-nitrofurantoina-50-mg-dac-x-30-tabletas,0,1,0,0,0,0,0,0,0,1,0,0,1,-0.7492449268212796,1.6788861430635726,3.75
83,Amoxicilina,CALOX AMOXICILINA 500 MG X 12 CAPSULAS,CALOX,Cápsula,500,12,2014.46,4.2494,0,https://www.locatel.com.ve/calox_amoxicilina_500_mg_x_12_capsulas/p,2026-04-06,Venezuela,INHRR,https://inhrr.gob.ve/sismed/productos-farma/E.F.G.20.340,0,1,0,0,0,0,0,0,0,1,1,0,0,-0.00864260737788669,1.6667563917360235,4.03
68,Acetaminofen,TACHIFORTE 1 GR X20 TABLETAS,ELMOR,Tableta,1000,20,2230.0,4.704,1,https://www.locatel.com.ve/tachiforte_1_gr_x20_tabletas/p,2026-04-06,Venezuela,INHRR,https://inhrr.gob.ve/sismed/productos-farma/E.F.40.210,0,0,0,0,0,0,0,0,0,1,1,0,0,-0.1597741471143863,1.900941830226381,6.11
16,Amoxicilina,Amoxicilina 500mg La Sante Caja X 6 Cápsulas,La Santé,Cápsula,500,6,1890.0,3.9868,0,https://www.farmatodo.com.ve/producto/111007558-amoxicilina-500mg-6capsulas-la-sante,2026-04-06,India,INHRR,https://inhrr.gob.ve/sismed/productos-farma/E.F.G.39.107,1,1,0,0,0,0,0,0,1,0,0,0,1,0.34110538732017526,1.2656890341685076,2.41
116,Nitrofurantoina,NITROFURANTOINA CA 50MG X 30 TAB REC,CALOX,Tableta,50,30,4562.14,9.6236,0,https://www.locatel.com.ve/nitrofurantoina_ca_50mg_x_30_tab_rec/p,2026-04-06,Venezuela,INHRR,https://calox.com/producto/nitrofurantoina/,0,1,0,0,0,0,0,0,0,1,1,0,0,0.42072439695647956,1.9423535444663873,5.19
169,Metronidazol,METRONIDAZOL TAB 500MG X10 CR DIST,CR DISTRILAB,Tableta,500,10,592.57,1.25,0,https://www.farmaciasaas.com/distrilab-metronidazol-tab-500mg-x10-cr-dist-51052/p,2026-04-06,China,INHRR,https://inhrr.gob.ve/sismed/productos-farma/E.F.G.44.331,1,1,0,0,0,0,0,0,0,0,0,0,1,-0.5464921220619796,1.3574223382783084,2.7
69,Acetaminofen,FC APYRENE 650 MG X10 CAPSULAS BLANDAS,FC LABORATORIOS,Cápsula,650,10,1840.2,3.8818,1,https://www.locatel.com.ve/fc_apyrene_650_mg_x10_capsulas_blandas/p,2026-04-06,Venezuela,INHRR,https://inhrr.gob.ve/sismed/productos-farma/E.F.34.521,0,0,0,0,0,0,0,0,0,1,1,0,0,0.020618657734645218,1.564895346580082,4.13
121,Sertralina,PHARMETIQUE TRALIX 50 MG X 30 TABLETAS,PHARMETIQUE,Tableta,50,30,6398.87,13.498,1,https://www.locatel.com.ve/pharmetique_tralix_50_mg_x_30_tabletas/p,2026-04-06,Colombia,Farmatodo,https://www.farmatodo.com.ve/producto/115569555-tralix-50mg-30tabletas,0,0,1,0,0,0,0,0,0,1,0,0,1,0.2153148878564175,2.4586958210222685,10.51
